time,production,age,tag
1981,熄灯号,19,剧情
1981,无尽的爱,19,"家庭,爱情,复仇"
1983,步步登天,21,"爱情,剧情,运动"
1983,处男有难,21,喜剧
1983,局外人,21,剧情
1983,乖仔也疯狂,21,"犯罪,喜剧"
1985,诡秘怪谈,23,"爱情,幻想,冒险"
1986,金钱本色,24,剧情片
1986,壮志凌云,24,"爱情,动作,剧情"
1988,龙威虎将,26,"动作,剧情,西部"
1988,雨人,26,剧情
1988,鸡尾酒,26,
1989,生于七月四日,27,"战争,传记"
1990,雷霆壮志,28,"动作,剧情"
1992,义海雄风,30,"剧情,惊悚"
1992,大地雄心,30,"爱情,剧情"
1993,糖衣陷阱,31,剧情
1994,夜访吸血鬼,32,"奇幻,恐怖,惊悚,剧情,爱情"
1996,碟中谍,34,"动作,冒险,惊悚"
1996,甜心先生,34,剧情
1999,大开眼戒,37,"剧情,爱情,惊悚,悬疑"
1999,木兰花,37,剧情
2000,碟中谍2,38,"动作,冒险,惊悚"
2001,香草天空,39,"剧情,科幻,悬疑,惊悚,爱情"
2002,王牌大贱谍,40,喜剧
2002,少数派报告,40,"动作,惊悚,剧情,科幻,悬疑"
2003,最后的武士,41,动作
2004,借刀杀人,42,"惊悚,剧情,犯罪"
2005,世界大战,43,"动作,科幻,惊悚,战争"
2006,碟中谍3,44,"动作,冒险,惊悚"
2007,狮入虎口,45,
2008,行动目标希特勒,46,"历史,战争,动作,冒险"
2008,热带惊雷,46,"动作,喜剧,冒险"
2010,危情谍战,48,"动作,冒险,喜剧"
2011,碟中谍4,49,"动作,冒险,惊悚"
2012,侠探杰克,50,"动作,惊悚,犯罪"
2012,摇滚年代,50,"剧情,喜剧,歌舞"
2013,遗落战境,51,"科幻,动作"
2014,明日边缘,52,"科幻,动作"
2015,碟中谍5,53,"动作,冒险,惊悚"
2016,侠探杰克2,54,"动作,惊悚,犯罪"
2017,新木乃伊,55,"动作,冒险"
2017,美国制造,55,"传记,犯罪,动作"
2018,碟中谍6,56,"动作,冒险,惊悚"
